date | value 
1989-11-09 | 0
2009-01-01 | 0
2009-01-02 | 0
2009-01-09 | 0
2009-01-11 | 0
2009-01-12 | 0
2009-01-13 | 0
2009-01-14 | 0
2009-01-26 | 0
2009-01-31 | 0
2009-02-02 | 0
2009-03-01 | 179769313486235570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368
2010-08-20 | 1
2010-08-21 | 0.1
2010-08-22 | -0.1
2010-08-23 | 1.
2010-08-24 | .18
2010-09-01 | 10
2011-02-28 | 1
2012-02-29 | 1
2022-03-29 | 1
2022-03-30 | 1


2009-01-23 | -1
2009-01-24 | 1001
2010-08-25 | nan
2010-08-26 | -inf
2010-08-27 | +10
2010-08-29 | 10a
2010-08-30 | 10 | 10


2009-01-010 | 0
2 0 0 9 - 0 1 - 1 5  | 0
2009-01-16
2009-01-17 |
    | 0
hello | 0
2009-01-18 | world
deux-01-19 | 0
2009-un-20 | 0
2009-01-trois | 0
01-21 | 0
2009-22 | 0
2009-01 | 0
2009-01-25 / 0
2009-00-27 | 0
2009-13-28 | 0
2009-1-29  | 0
2009-01-00 | 0
2009-01-32 | 0
2009_02_01 | 0
2009-02-02 || 0
2011-02-29 | 1
2012-02-30 | 1
