date | value 
2009-01-02 | 5
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | 1
2012-01-11 | 1
2012-01-11 | 214
2024-01-01 | 100
2040-02-05 | 200
2015-06-30 | 300
2016-11-27 | 400
2038-03-29 | 500
2038-01-19 | 600
2009-09-09 | 700
2023-12-31 | 800
2100-02-29 | 900
2023-12-31 | 1000
2023-01-31 | 1000
2023-02-28 | 1000
2023-03-31 | 1000
2023-04-30 | 1000
2023-05-31 | 1000
2023-06-30 | 1000
2023-07-31 | 1000
2023-08-31 | 1000
2023-09-30 | 1000
2023-10-31 | 1000
2023-11-30 | 1000
2009-12-31 | 1000
2015-01-01 | 1000
2010-02-28 | 1000
2012-02-29 | 1000
2009-02-28 | 1000
2016-01-03 | 3
2011-01-03 | 3
2011-01-01 | 3
2011-01-03 | 3
2011-01-03| 3
2011-01-03 |3
2011-01-03|3
2011-01-03  | 3
2013-02-28 | 10
2010-02-28 | 10



